smiles,bandgap_chain,mfp_MQNs13,mfp_MQNs14,mfp_MQNs15,mfp_MQNs16,mfp_MQNs17,mfp_MQNs18,mfp_MQNs19,mfp_MQNs20,mfp_MQNs21,mfp_MQNs22,mfp_MQNs23,mfp_MQNs24,mfp_MQNs25,mfp_MQNs26,mfp_MQNs27,mfp_MQNs28,mfp_MQNs29,mfp_MQNs30,mfp_MQNs31,mfp_MQNs32,mfp_MQNs33,mfp_MQNs34,mfp_MQNs35,mfp_MQNs36,mfp_MQNs37,mfp_MQNs38,mfp_MQNs39,mfp_MQNs40,mfp_MQNs41,mfp_MQNs42,mfp_NumAromaticRings,mfp_NumAliphaticRings,mfp_Chi0n,mfp_Chi0v,mfp_Chi1n,mfp_Chi1v,mfp_Chi2n,mfp_Chi2v,mfp_HallKierAlpha,mfp_tpsa
[*]C=CCCCCCC[*],5.78,0.9166666666666666,0.0416666666666666,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0833333333333333,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.1666666666666666,0.40625,0.0729166666666666,0.03125,0.03125,0.0108333333333333,0.0
[*]C=CCCCC[*],5.6199,0.8888888888888888,0.0555555555555555,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.1666666666666666,0.4027777777777778,0.0694444444444444,0.0277777777777777,0.0277777777777777,0.0144444444444444,0.0
[*]CC([*])C1CC=CCC1,5.4849,0.7272727272727273,0.0,0.0,0.2272727272727272,0.0454545454545454,0.0,0.0909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0909090909090909,0.0,0.0909090909090909,0.1818181818181818,0.0,0.0,0.0,0.0454545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0454545454545454,0.8181818181818182,0.1818181818181818,0.4090909090909091,0.0909090909090909,0.0511363636363636,0.0511363636363636,0.0118181818181818,0.0
[*]C1CCC1[*],6.0558,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0833333333333333,0.8333333333333334,0.1666666666666666,0.4166666666666667,0.0833333333333333,0.0416666666666666,0.0416666666666666,0.0,0.0
[*]C=CCCCCC[*],5.7935,0.9047619047619048,0.0476190476190476,0.0,0.0,0.0,0.0,0.238095238095238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0952380952380952,0.238095238095238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.1666666666666666,0.4047619047619047,0.0714285714285714,0.0297619047619047,0.0297619047619047,0.0123809523809523,0.0
[*]C=CC1CCC([*])C1,5.1969,0.6842105263157895,0.0526315789473684,0.0,0.2631578947368421,0.0,0.0,0.0526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1052631578947368,0.0,0.0,0.0,0.2631578947368421,0.0,0.0,0.0526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0526315789473684,0.8157894736842105,0.1842105263157894,0.4078947368421052,0.0921052631578947,0.0526315789473684,0.0526315789473684,0.0136842105263157,0.0
[*]C=CC(C[*])C(C)CC,4.91,0.9166666666666666,0.0416666666666666,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0833333333333333,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.1666666666666666,0.40625,0.0729166666666666,0.0416666666666666,0.0416666666666666,0.0108333333333333,0.0
[*]CCC=C([*])CCC,5.2335,0.9047619047619048,0.0476190476190476,0.0,0.0,0.0,0.0,0.238095238095238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0952380952380952,0.238095238095238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.1666666666666666,0.4047619047619047,0.0714285714285714,0.0297619047619047,0.0297619047619047,0.0123809523809523,0.0
[*]CC1([*])CCCCC1,6.2872,0.7142857142857143,0.0,0.0,0.2857142857142857,0.0,0.0,0.0476190476190476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0476190476190476,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0476190476190476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0476190476190476,0.8333333333333334,0.1666666666666666,0.4166666666666667,0.0833333333333333,0.0476190476190476,0.0476190476190476,0.0,0.0
[*]C=CC(C)CCCCC[*],5.4049,0.925925925925926,0.037037037037037,0.0,0.0,0.0,0.0,0.2592592592592592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.074074074074074,0.2592592592592592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.1666666666666666,0.4074074074074074,0.074074074074074,0.037037037037037,0.037037037037037,0.0096296296296296,0.0
[*]CC/C=C([*])\C(C)(C)C,5.2577,0.9166666666666666,0.0416666666666666,0.0,0.0,0.0,0.0,0.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0833333333333333,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.1666666666666666,0.40625,0.0729166666666666,0.046875,0.046875,0.0108333333333333,0.0
[*]CC([*])c1ccccc1CC,5.1303,0.75,0.0,0.0,0.125,0.125,0.0,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.0,0.25,0.0,0.0,0.0,0.0,0.0416666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0416666666666666,0.0,0.7916666666666666,0.2083333333333333,0.3958333333333333,0.1041666666666666,0.0625,0.0625,0.0325,0.0
[*]CC([*])c1ccccc1C(=O)OC,4.8063,0.7083333333333334,0.0416666666666666,0.0,0.125,0.125,0.0,0.1666666666666666,0.1666666666666666,0.0833333333333333,0.0,0.0,0.0,0.0,0.0416666666666666,0.0416666666666666,0.0416666666666666,0.125,0.0,0.25,0.0,0.0,0.0,0.0,0.0416666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0416666666666666,0.0,0.7423540242053219,0.2423540242053219,0.3692655181539914,0.1192655181539914,0.0735216479658846,0.0735216479658846,0.0545833333333333,0.2739583333333333
[*]CC([*])c1ccccc1C(=O)Oc1ccccc1,2.1638,0.6129032258064516,0.032258064516129,0.0,0.1935483870967742,0.1935483870967742,0.0,0.1290322580645161,0.1290322580645161,0.064516129032258,0.0,0.0,0.0,0.0,0.032258064516129,0.032258064516129,0.032258064516129,0.064516129032258,0.0,0.3870967741935484,0.0,0.0,0.0,0.0,0.064516129032258,0.0,0.0,0.0,0.0,0.0,0.0,0.064516129032258,0.0,0.7198869864815396,0.2682740832557331,0.3665281430869611,0.1407216914740579,0.0876981837552633,0.0876981837552633,0.0674193548387096,0.2120967741935484
[*]CC([*])c1ccccc1Cl,2.5286,0.6666666666666666,0.0,0.0,0.1666666666666666,0.1666666666666666,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0555555555555555,0.0,0.0,0.1111111111111111,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0555555555555555,0.0,0.7432202485005126,0.2852163010570934,0.3716101242502563,0.1426081505285467,0.0729990131391452,0.0939970394174355,0.0272222222222222,0.0
[*]CC([*])c1cccc(C)c1,5.0775,0.7142857142857143,0.0,0.0,0.1428571428571428,0.1428571428571428,0.0,0.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1428571428571428,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0476190476190476,0.0,0.0,0.0,0.0,0.0,0.0,0.0476190476190476,0.0,0.7857142857142857,0.2142857142857142,0.3928571428571428,0.1071428571428571,0.0654761904761904,0.0654761904761904,0.0371428571428571,0.0
[*]CC([*])c1ccc(C)cc1,4.8699,0.7142857142857143,0.0,0.0,0.1428571428571428,0.1428571428571428,0.0,0.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1428571428571428,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0476190476190476,0.0,0.0,0.0,0.0,0.0,0.0,0.0476190476190476,0.0,0.7857142857142857,0.2142857142857142,0.3928571428571428,0.1071428571428571,0.0654761904761904,0.0654761904761904,0.0371428571428571,0.0
[*]CC([*])c1ccc(CCCCCC)cc1,4.9196,0.8333333333333334,0.0,0.0,0.0833333333333333,0.0833333333333333,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.1666666666666666,0.0,0.0,0.0,0.0,0.0277777777777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0277777777777777,0.0,0.8055555555555556,0.1944444444444444,0.4027777777777778,0.0972222222222222,0.0555555555555555,0.0555555555555555,0.0216666666666666,0.0
[*]CC([*])c1ccc(CCCCCCCCCCCCCCCC)cc1,5.0066,0.9090909090909092,0.0,0.0,0.0454545454545454,0.0454545454545454,0.0,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2727272727272727,0.0,0.0909090909090909,0.0,0.0,0.0,0.0,0.0151515151515151,0.0,0.0,0.0,0.0,0.0,0.0,0.0151515151515151,0.0,0.8181818181818182,0.1818181818181818,0.4090909090909091,0.0909090909090909,0.0492424242424242,0.0492424242424242,0.0118181818181818,0.0
[*]CC([*])c1ccc(Br)cc1,2.235,0.6666666666666666,0.0,0.0,0.1666666666666666,0.1666666666666666,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0555555555555555,0.0,0.0,0.1111111111111111,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0555555555555555,0.0,0.7432202485005126,0.3313311673402184,0.3716101242502563,0.1656655836701092,0.0729990131391452,0.117054472558998,0.0166666666666666,0.0
[*]CC([*])c1ccc(C(O)CCN2CCOCC2)cc1,4.4244,0.7317073170731707,0.0,0.0,0.2195121951219512,0.073170731707317,0.0,0.1707317073170731,0.1219512195121951,0.073170731707317,0.0,0.0,0.0,0.0,0.0,0.024390243902439,0.0,0.1219512195121951,0.024390243902439,0.1707317073170731,0.0975609756097561,0.0,0.0,0.0,0.048780487804878,0.0,0.0,0.0,0.0,0.0,0.0,0.024390243902439,0.024390243902439,0.7747246384494557,0.2137490286933581,0.3888156370587706,0.1105656787547739,0.0684422135690187,0.0684422135690187,0.0219512195121951,0.199390243902439
[*]CC([*])c1ccc(C(=O)CCN2CCCCC2)cc1,2.7738,0.7073170731707317,0.024390243902439,0.0,0.2195121951219512,0.073170731707317,0.0,0.1463414634146341,0.073170731707317,0.048780487804878,0.0,0.0,0.0,0.0,0.024390243902439,0.0,0.024390243902439,0.0975609756097561,0.0,0.1707317073170731,0.1219512195121951,0.0,0.0,0.0,0.048780487804878,0.0,0.0,0.0,0.0,0.0,0.0,0.024390243902439,0.024390243902439,0.7769624850235078,0.2159868752674102,0.3932913302068749,0.112803525328826,0.0701205984995577,0.0701205984995577,0.0280487804878048,0.1238414634146341
[*]CC([*])c1ccc(C(=O)OC)cc1,4.6598,0.7083333333333334,0.0416666666666666,0.0,0.125,0.125,0.0,0.1666666666666666,0.1666666666666666,0.0833333333333333,0.0,0.0,0.0,0.0,0.0416666666666666,0.0416666666666666,0.0416666666666666,0.125,0.0,0.25,0.0,0.0,0.0,0.0,0.0416666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0416666666666666,0.0,0.7423540242053219,0.2423540242053219,0.3692655181539914,0.1192655181539914,0.0735216479658846,0.0735216479658846,0.0545833333333333,0.2739583333333333
[*]CC([*])c1ccc(C(=O)OCC(C)C)cc1,4.6433,0.7878787878787878,0.0303030303030303,0.0,0.0909090909090909,0.0909090909090909,0.0,0.2121212121212121,0.1212121212121212,0.0606060606060606,0.0,0.0,0.0,0.0,0.0303030303030303,0.0303030303030303,0.0303030303030303,0.1818181818181818,0.0,0.1818181818181818,0.0,0.0,0.0,0.0,0.0303030303030303,0.0,0.0,0.0,0.0,0.0,0.0,0.0303030303030303,0.0,0.7671665630584159,0.2217120176038705,0.3821931041119937,0.109465831384721,0.0679267158726423,0.0679267158726423,0.0396969696969696,0.1992424242424242
[*]CC([*])c1ccc(C(=O)OCCCCCC)cc1,4.6127,0.8205128205128205,0.0256410256410256,0.0,0.0769230769230769,0.0769230769230769,0.0,0.2307692307692307,0.1025641025641025,0.0512820512820512,0.0,0.0,0.0,0.0,0.0256410256410256,0.0256410256410256,0.0256410256410256,0.2051282051282051,0.0,0.1538461538461538,0.0,0.0,0.0,0.0,0.0256410256410256,0.0,0.0,0.0,0.0,0.0,0.0,0.0256410256410256,0.0,0.777346066177634,0.2132435020750699,0.387496729120405,0.1054454470691229,0.060681580097364,0.060681580097364,0.0335897435897435,0.1685897435897436
[*]CC([*])c1ccc(C(=O)CCCC)cc1,4.4871,0.78125,0.03125,0.0,0.09375,0.09375,0.0,0.21875,0.0625,0.03125,0.0,0.0,0.0,0.0,0.03125,0.0,0.03125,0.1875,0.0,0.1875,0.0,0.0,0.0,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.0,0.7783827590769957,0.2158827590769957,0.3891913795384978,0.1079413795384978,0.0649726295384978,0.0649726295384978,0.0346875,0.133359375
[*]CC([*])c1ccc(C(=O)Cc2ccccc2)cc1,3.5934,0.6363636363636364,0.0303030303030303,0.0,0.1818181818181818,0.1818181818181818,0.0,0.1515151515151515,0.0606060606060606,0.0303030303030303,0.0,0.0,0.0,0.0,0.0303030303030303,0.0,0.0303030303030303,0.0909090909090909,0.0,0.3636363636363636,0.0,0.0,0.0,0.0,0.0606060606060606,0.0,0.0,0.0,0.0,0.0,0.0,0.0606060606060606,0.0,0.739643887589814,0.2547954027413291,0.3773977013706646,0.1349734589464221,0.0857310347039979,0.0857310347039979,0.0572727272727272,0.1293181818181818
[*]CC([*])c1ccc(C(=O)c2ccccc2)cc1,3.7318,0.6,0.0333333333333333,0.0,0.2,0.2,0.0,0.1333333333333333,0.0666666666666666,0.0333333333333333,0.0,0.0,0.0,0.0,0.0333333333333333,0.0,0.0333333333333333,0.0666666666666666,0.0,0.4,0.0,0.0,0.0,0.0,0.0666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0666666666666666,0.0,0.7302749430154621,0.2636082763487954,0.3734708048410644,0.140137471507731,0.090137471507731,0.090137471507731,0.0629999999999999,0.14225
[*]CC([*])c1ccc(F)cc1,2.1384,0.6666666666666666,0.0,0.0,0.1666666666666666,0.1666666666666666,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0555555555555555,0.0,0.0,0.1111111111111111,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0555555555555555,0.0,0.7432202485005126,0.2432202485005126,0.3716101242502563,0.1216101242502563,0.0729990131391452,0.0729990131391452,0.0472222222222222,0.0
[*]CC([*])c1ccc(N(C)C)cc1,3.7056,0.7692307692307693,0.0,0.0,0.1153846153846153,0.1153846153846153,0.0,0.1923076923076923,0.0384615384615384,0.0384615384615384,0.0,0.0,0.0,0.0,0.0,0.0,0.0384615384615384,0.1538461538461538,0.0,0.2307692307692307,0.0,0.0,0.0,0.0,0.0384615384615384,0.0,0.0,0.0,0.0,0.0,0.0,0.0384615384615384,0.0,0.7864312921346138,0.2095082152115368,0.3911853997403822,0.1027238612788437,0.0647698843990364,0.0647698843990364,0.0376923076923076,0.0311538461538461
[*]CC([*])c1ccc(C)cc1C,4.9248,0.75,0.0,0.0,0.125,0.125,0.0,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.0,0.25,0.0,0.0,0.0,0.0,0.0416666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0416666666666666,0.0,0.7916666666666666,0.2083333333333333,0.3958333333333333,0.1041666666666666,0.0677083333333333,0.0677083333333333,0.0325,0.0
[*]CC([*])c1cc(C)ccc1C,4.9087,0.75,0.0,0.0,0.125,0.125,0.0,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.0,0.25,0.0,0.0,0.0,0.0,0.0416666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0416666666666666,0.0,0.7916666666666666,0.2083333333333333,0.3958333333333333,0.1041666666666666,0.0677083333333333,0.0677083333333333,0.0325,0.0
[*]CC([*])c1cc(Cl)ccc1Cl,2.784,0.6666666666666666,0.0,0.0,0.1666666666666666,0.1666666666666666,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.1111111111111111,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0555555555555555,0.0,0.7086627192232474,0.3482103798919646,0.3543313596116237,0.1741051899459823,0.0834980262782904,0.1254940788348711,0.0111111111111111,0.0
[*]CC([*])c1cc(Br)ccc1OCCCC,4.5234,0.8064516129032258,0.0,0.0,0.0967741935483871,0.0967741935483871,0.0,0.2258064516129032,0.064516129032258,0.032258064516129,0.0,0.0,0.0,0.0,0.032258064516129,0.032258064516129,0.0,0.1935483870967742,0.0,0.1935483870967742,0.0,0.0,0.0,0.0,0.032258064516129,0.0,0.0,0.0,0.0,0.0,0.0,0.032258064516129,0.0,0.7672971859184867,0.2700712678254127,0.3821687266764025,0.1335557676298654,0.0636203395796282,0.089200928920188,0.0161290322580645,0.0744354838709677
[*]CC([*])c1cc(Br)ccc1OCC,4.4644,0.76,0.0,0.0,0.12,0.12,0.0,0.2,0.08,0.04,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.16,0.0,0.24,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.7514485105389235,0.2948883721035117,0.3738892210787391,0.1456091518610331,0.068889221078739,0.1006091518610331,0.02,0.0923
[*]CC([*])c1cc(Br)ccc1OC(C)C,4.6823,0.7857142857142857,0.0,0.0,0.1071428571428571,0.1071428571428571,0.0,0.2142857142857142,0.0714285714285714,0.0357142857142857,0.0,0.0,0.0,0.0,0.0357142857142857,0.0357142857142857,0.0,0.1785714285714285,0.0,0.2142857142857142,0.0,0.0,0.0,0.0,0.0357142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0357142857142857,0.0,0.7602218844097531,0.2811503322352783,0.3784725188203027,0.1389367427330653,0.0696175928423015,0.0979389596122069,0.0178571428571428,0.0824107142857143
[*]CC([*])c1cc(C)cc(C)c1,4.7319,0.75,0.0,0.0,0.125,0.125,0.0,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.0,0.25,0.0,0.0,0.0,0.0,0.0416666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0416666666666666,0.0,0.7916666666666666,0.2083333333333333,0.3958333333333333,0.1041666666666666,0.0677083333333333,0.0677083333333333,0.0325,0.0
[*]CC([*])c1ccc(C)c(C)c1,4.8262,0.75,0.0,0.0,0.125,0.125,0.0,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.0,0.25,0.0,0.0,0.0,0.0,0.0416666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0416666666666666,0.0,0.7916666666666666,0.2083333333333333,0.3958333333333333,0.1041666666666666,0.0677083333333333,0.0677083333333333,0.0325,0.0
[*]CC([*])c1ccc(Cl)c(C)c1,4.8762,0.7142857142857143,0.0,0.0,0.1428571428571428,0.1428571428571428,0.0,0.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0476190476190476,0.0,0.0,0.1428571428571428,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0476190476190476,0.0,0.0,0.0,0.0,0.0,0.0,0.0476190476190476,0.0,0.7560935463337727,0.2682806390013181,0.3780467731668863,0.134140319500659,0.0744753445954577,0.0924736528339924,0.0233333333333333,0.0
